Baker,Age,Occupation,Hometown,Links
Ali Imdad,25,Charity worker,"Saltley, Birmingham",
Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",[7]
Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",[8]
Deborah Manger,51,Dentist,Peterborough,[9]
Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",[10]
Glenn Cosby,37,English Teacher,"Teignmouth, Devon",[11]
Howard Middleton,51,Council Worker,Sheffield,[12]
Kimberley Wilson,30,Psychologist,London,[13]
Lucy Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",[14]
Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,
Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",[15]
Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",[16]
Toby Waterworth,30,Web Programmer,"Reading, Berkshire",[17]
